EmployeeID,SkillName,CurrentProficiency,YearsExperience
1,Tax Compliance,3,3.0
1,Financial Auditing,4,5.9
1,Excel & Financial Modeling,4,2.8
1,Accounting,5,7.2
2,Market Analysis,4,5.9
2,CRM Management,2,9.7
2,B2B Sales,3,3.9
3,Customer Troubleshooting,3,4.6
3,Active Directory,5,9.6
3,Hardware Diagnostics,3,4.6
3,SLA Management,3,6.7
3,Network Basics,4,10.0
3,ServiceNow / ITSM,4,6.1
4,HR Policies & Compliance,5,7.7
4,Talent Acquisition,5,8.4
4,Conflict Resolution,4,8.5
4,HRIS Management,2,4.2
4,Employee Onboarding,2,5.0
5,Strategic Account Planning,3,2.4
5,Upselling & Cross-selling,2,3.3
5,Client Retention,3,2.9
5,Contract Negotiation,2,2.5
6,SLA Management,4,3.5
6,Network Basics,2,3.4
6,ServiceNow / ITSM,3,5.2
6,Hardware Diagnostics,4,5.8
7,Monitoring & Logging,3,4.3
7,Docker & Kubernetes,3,2.2
7,Linux Administration,3,2.2
7,CI/CD Pipelines,4,3.4
7,Cloud Infrastructure (AWS/GCP),4,5.9
8,Talent Acquisition,5,7.1
8,Payroll Coordination,4,7.4
8,Employee Onboarding,4,3.7
8,Performance Management,4,5.6
8,HR Policies & Compliance,4,7.5
9,Employee Onboarding,2,9.1
9,HR Policies & Compliance,3,6.5
9,Conflict Resolution,3,7.5
10,Accounts Payable / Receivable,5,6.3
10,Payroll Management,3,6.7
10,QuickBooks / SAP,3,4.5
10,Financial Statements,4,8.4
11,Talent Acquisition,3,7.4
11,Performance Management,3,6.8
11,Conflict Resolution,4,6.2
12,Technical Support,4,6.1
12,Customer Troubleshooting,4,5.7
13,Payroll Management,5,4.1
13,Financial Statements,3,3.5
13,QuickBooks / SAP,4,3.2
13,Reconciliation,4,2.2
13,Tax Preparation,2,4.2
13,Accounts Payable / Receivable,5,3.4
14,Executive Leadership,3,10.9
14,Organizational Development,4,4.0
14,Employee Engagement,3,9.1
14,Budgeting,2,5.2
14,HR Strategy,4,9.3
15,JavaScript / React,4,4.5
15,Microservices Architecture,2,3.6
15,REST APIs,3,3.1
15,SQL & Database Design,5,3.8
15,Git Version Control,4,4.8
16,Link Building,2,3.4
16,Google Analytics / Search Console,3,4.3
16,Keyword Research,5,4.2
16,Competitor SEO Analysis,3,1.5
17,Log Analysis,3,8.9
17,Cloud Monitoring,3,4.4
17,Customer Communication,4,9.5
17,Scripting (Python/Bash),4,7.1
17,L2/L3 Technical Troubleshooting,2,7.4
17,Incident Management,5,4.2
18,API Testing (Postman),3,8.3
18,Performance Testing (JMeter),3,10.0
18,Bug Lifecycle Management,2,4.5
18,Selenium / Playwright,4,6.2
18,Test Automation,2,8.1
19,Network Basics,5,12.1
19,Hardware Diagnostics,4,6.8
19,Customer Troubleshooting,2,7.2
19,Technical Support,4,7.4
20,Database Querying (SQL),4,3.8
20,L2/L3 Technical Troubleshooting,3,8.8
20,Log Analysis,4,3.2
20,Scripting (Python/Bash),3,5.6
20,Cloud Monitoring,4,4.5
20,Incident Management,3,3.5
21,Scripting (Python/Bash),4,1.4
21,Database Querying (SQL),3,1.7
21,Cloud Monitoring,4,1.3
22,Pipeline Forecasting,2,4.5
22,Relationship Management,4,10.1
22,Client Negotiation,3,5.0
23,Test Automation,4,2.7
23,QA Testing,2,5.2
23,API Testing (Postman),4,3.7
24,Performance Testing (JMeter),4,1.6
24,CI/CD Quality Gates,4,1.7
24,Test Automation,4,2.6
24,Bug Lifecycle Management,3,2.6
24,API Testing (Postman),5,1.3
24,QA Testing,2,1.1
25,SEO & Keyword Strategy,3,1.9
25,Content Strategy,4,3.4
25,Brand Storytelling,4,3.7
26,Technical SEO Auditing,4,1.0
26,Content Strategy,5,1.6
26,Google Analytics / Search Console,3,1.5
27,Relationship Management,2,3.7
27,CRM Management,5,8.9
27,Lead Generation,3,9.6
27,Client Negotiation,4,6.5
27,B2B Sales,3,3.8
28,Copywriting & Editing,2,2.4
28,Social Media Management,2,2.5
28,Content Strategy,3,3.3
28,SEO & Keyword Strategy,3,1.5
29,Accounts Payable / Receivable,4,10.9
29,General Ledger,2,5.3
29,Financial Statements,5,7.9
29,Tax Preparation,3,11.8
30,Customer Communication,3,7.1
30,L2/L3 Technical Troubleshooting,2,7.0
30,Scripting (Python/Bash),2,4.5
31,JavaScript / React,4,1.7
31,Docker,5,1.2
31,Microservices Architecture,5,1.3
31,REST APIs,4,2.5
31,Python,5,1.4
32,Brand Storytelling,3,3.7
32,SEO & Keyword Strategy,5,4.4
32,Copywriting & Editing,2,2.7
32,Content Marketing,3,2.5
33,Performance Testing (JMeter),3,6.9
33,Test Automation,2,5.6
33,QA Testing,3,7.9
33,Bug Lifecycle Management,3,4.6
34,Python / Go,2,4.2
34,Linux Administration,4,7.1
34,Systems Architecture,3,5.3
34,CI/CD Pipelines,3,7.1
34,Monitoring & Logging,4,6.4
34,Docker & Kubernetes,3,4.4
35,Technical SEO Auditing,4,2.9
35,Competitor SEO Analysis,4,2.1
35,Keyword Research,3,1.7
35,Google Analytics / Search Console,3,1.9
35,Link Building,3,3.3
36,Risk Assessment,4,3.8
36,Excel & Financial Modeling,3,2.2
36,Internal Controls,4,4.7
36,Regulatory Reporting,4,3.0
36,Accounting,3,2.2
37,Social Media Management,3,5.1
37,Content Marketing,3,3.7
37,Content Strategy,4,4.7
37,Brand Storytelling,3,4.8
38,Financial Statements,4,8.6
38,General Ledger,4,8.1
38,QuickBooks / SAP,4,6.1
38,Tax Preparation,4,8.2
39,Excel & Financial Modeling,3,7.1
39,Tax Compliance,2,8.8
39,Accounting,4,7.2
39,Regulatory Reporting,4,5.3
39,Risk Assessment,3,6.9
39,Financial Auditing,2,8.2
40,Risk Assessment,4,5.3
40,Regulatory Reporting,3,6.8
40,Excel & Financial Modeling,3,8.7
41,Customer Success,4,7.3
41,Key Account Management,4,2.9
41,Client Retention,4,4.6
41,Contract Negotiation,3,3.3
42,Brand Storytelling,3,3.5
42,SEO & Keyword Strategy,3,4.1
42,Analytics & Reporting,3,3.9
42,Content Marketing,4,3.8
43,SEO & Keyword Strategy,3,13.4
43,Content Strategy,4,6.6
43,Analytics & Reporting,3,5.9
43,Copywriting & Editing,3,5.9
44,Docker & Kubernetes,4,12.6
44,Cloud Infrastructure (AWS/GCP),4,9.0
44,Linux Administration,5,4.2
45,Reconciliation,3,5.6
45,QuickBooks / SAP,3,6.2
45,Tax Preparation,4,2.9
45,Accounts Payable / Receivable,4,4.3
45,Financial Statements,4,5.3
